item,quantity,expiry-date
Blue Jazz,29,22/06/2032
Cauliflower,58,20/11/2034
Garlic,3,11/02/2034
Kale,57,22/04/2025
Parsnip,2,14/06/2035
Potato,17,26/05/2032
Rhubarb,50,24/03/2028
Tulip,73,17/05/2025
Unmilled Rice (Irrigated),7,21/07/2033
Unmilled Rice (Unirrigated),40,24/11/2032
Carrot,41,17/06/2026
Coffee Bean,54,30/11/2034
Green Bean,9,12/09/2035
Strawberry,46,15/09/2030
Melon,43,20/12/2035
Poppy,2,01/12/2025
Radish,11,28/10/2031
Red Cabbage,72,25/02/2029
Starfruit,67,02/11/2030
Summer Spangle,45,17/04/2030
Sunflower,27,17/02/2035
Wheat,98,03/03/2027
Blueberry,78,31/07/2031
Coffee Bean,84,03/10/2025
Corn,71,16/09/2032
Hops,86,16/11/2029
Hot Pepper,70,29/01/2027
Tomato,60,20/04/2025
Summer Squash,66,09/12/2027
Amaranth,61,29/08/2025
Aichoke,18,22/09/2035
Beet,52,14/04/2030
Bok Choy,75,15/06/2026
Fairy Rose,91,10/12/2030
Pumpkin,88,26/05/2025
Sweet Gem Berry,3,03/10/2035
Wheat,83,08/08/2026
Yam,33,14/04/2031
Corn,62,20/10/2034
Cranberries,96,15/03/2026
Eggplant,12,05/07/2025
Grape,5,09/09/2032
Powdermelon,32,15/06/2025
